AÑO,CATEGORIAS,ANALISIS,CANALES DE VENTA,CANTIDAD
2002,Vinos,Volumen (miles de kg o litros),Economato/Coop.,18723.649999999998
2002,Cervezas,Volumen (miles de kg o litros),Economato/Coop.,1385.4099999999999
2002,Patatas,Volumen (miles de kg o litros),Economato/Coop.,5738.78
2002,Hortalizas frescas,Volumen (miles de kg o litros),Economato/Coop.,5132.08
2002,Frutas frescas,Volumen (miles de kg o litros),Economato/Coop.,12367.800000000003
2002,Frutos secos,Volumen (miles de kg o litros),Economato/Coop.,505.46999999999997
2002,Frutas y hortalizas transformadas,Volumen (miles de kg o litros),Economato/Coop.,2386.7999999999997
2002,Platos preparados,Volumen (miles de kg o litros),Economato/Coop.,1148.6
2002,Cafes e infusiones,Volumen (miles de kg o litros),Economato/Coop.,445.28
2002,Caldos,Volumen (miles de kg o litros),Economato/Coop.,73.21999999999998
2002,Salsas,Volumen (miles de kg o litros),Economato/Coop.,261.84000000000003
2002,Gaseosas y bebidas refrescantes,Volumen (miles de kg o litros),Economato/Coop.,7912.06
2002,Otros productos en peso,Volumen (miles de kg o litros),Economato/Coop.,1460.7099999999998
2002,Otros productos en volumen,Volumen (miles de kg o litros),Economato/Coop.,332.39
2003,Miel,Valor (miles de euros),Economato/Coop.,871.9599999999998
2003,Carne,Valor (miles de euros),Economato/Coop.,47019.950000000004
2003,Pescados y mariscos,Valor (miles de euros),Economato/Coop.,22795.73
2003,Leche líquida,Valor (miles de euros),Economato/Coop.,10406.189999999999
2003,Otras leches,Valor (miles de euros),Economato/Coop.,140.9
2003,Derivados lacteos,Valor (miles de euros),Economato/Coop.,16664.46
2003,Pan,Valor (miles de euros),Economato/Coop.,13022.99
2003,"Bolleria, pastelería, galletas y cereales",Valor (miles de euros),Economato/Coop.,7333.62
2003,Productos navideños,Valor (miles de euros),Economato/Coop.,1543.43
2003,Chocolates,Valor (miles de euros),Economato/Coop.,3074.7200000000003
2003,Arroz,Valor (miles de euros),Economato/Coop.,1098.29
2003,Pastas,Valor (miles de euros),Economato/Coop.,1133.61
2003,Azucar,Valor (miles de euros),Economato/Coop.,890.14
2003,Edulcorante,Valor (miles de euros),Economato/Coop.,105.89
2003,Legumbres,Valor (miles de euros),Economato/Coop.,1402.44
2003,Aceites,Valor (miles de euros),Economato/Coop.,30012.410000000003
2003,Margarinas,Valor (miles de euros),Economato/Coop.,342.97
2003,Aceitunas,Valor (miles de euros),Economato/Coop.,851.72
2003,Vinos,Valor (miles de euros),Economato/Coop.,19205.06
2003,Cervezas,Valor (miles de euros),Economato/Coop.,1835.3799999999999
2003,Patatas,Valor (miles de euros),Economato/Coop.,4455.349999999999
2003,Hortalizas frescas,Valor (miles de euros),Economato/Coop.,6762.349999999999
2003,Frutas frescas,Valor (miles de euros),Economato/Coop.,11124.740000000002
2003,Frutos secos,Valor (miles de euros),Economato/Coop.,3282.4999999999995
2003,Frutas y hortalizas transformadas,Valor (miles de euros),Economato/Coop.,3249.9900000000002
2003,Platos preparados,Valor (miles de euros),Economato/Coop.,2309.13
2003,Cafes e infusiones,Valor (miles de euros),Economato/Coop.,2704.9900000000002
2003,Caldos,Valor (miles de euros),Economato/Coop.,452.36
2003,Salsas,Valor (miles de euros),Economato/Coop.,579.0699999999999
2003,Gaseosas y bebidas refrescantes,Valor (miles de euros),Economato/Coop.,4402.05
2003,Otros productos en peso,Valor (miles de euros),Economato/Coop.,1160.78
2003,Otros productos en volumen,Valor (miles de euros),Economato/Coop.,324.57000000000005
2003,Miel,Volumen (miles de kg o litros),Economato/Coop.,209.29999999999995
2003,Carne,Volumen (miles de kg o litros),Economato/Coop.,8860.18
2003,Pescados y mariscos,Volumen (miles de kg o litros),Economato/Coop.,3229.65
2003,Leche líquida,Volumen (miles de kg o litros),Economato/Coop.,16132.029999999999
2003,Otras leches,Volumen (miles de kg o litros),Economato/Coop.,40.26
2003,Derivados lacteos,Volumen (miles de kg o litros),Economato/Coop.,3908.0099999999998
2003,Pan,Volumen (miles de kg o litros),Economato/Coop.,9343.08
2003,"Bolleria, pastelería, galletas y cereales",Volumen (miles de kg o litros),Economato/Coop.,1853.54
2003,Productos navideños,Volumen (miles de kg o litros),Economato/Coop.,280.47
2003,Chocolates,Volumen (miles de kg o litros),Economato/Coop.,564.17
2003,Arroz,Volumen (miles de kg o litros),Economato/Coop.,1084.4600000000003
2003,Pastas,Volumen (miles de kg o litros),Economato/Coop.,771.73
2003,Azucar,Volumen (miles de kg o litros),Economato/Coop.,940.78
2003,Edulcorante,Volumen (miles de kg o litros),Economato/Coop.,39.49
2003,Legumbres,Volumen (miles de kg o litros),Economato/Coop.,846.2400000000001
2003,Aceites,Volumen (miles de kg o litros),Economato/Coop.,12423.61
2003,Margarinas,Volumen (miles de kg o litros),Economato/Coop.,113.88000000000002
2003,Aceitunas,Volumen (miles de kg o litros),Economato/Coop.,397.6
2003,Vinos,Volumen (miles de kg o litros),Economato/Coop.,16981.57
2003,Cervezas,Volumen (miles de kg o litros),Economato/Coop.,1656.5100000000002
2003,Patatas,Volumen (miles de kg o litros),Economato/Coop.,8599.14
2003,Hortalizas frescas,Volumen (miles de kg o litros),Economato/Coop.,4916.24
2003,Frutas frescas,Volumen (miles de kg o litros),Economato/Coop.,10809.380000000001
2003,Frutos secos,Volumen (miles de kg o litros),Economato/Coop.,531.43
2003,Frutas y hortalizas transformadas,Volumen (miles de kg o litros),Economato/Coop.,1970.0300000000002
2003,Platos preparados,Volumen (miles de kg o litros),Economato/Coop.,862.8599999999999
2003,Cafes e infusiones,Volumen (miles de kg o litros),Economato/Coop.,373.0400000000001
2003,Caldos,Volumen (miles de kg o litros),Economato/Coop.,53.75
2003,Salsas,Volumen (miles de kg o litros),Economato/Coop.,220.77000000000004
2003,Gaseosas y bebidas refrescantes,Volumen (miles de kg o litros),Economato/Coop.,6928.740000000001
2003,Otros productos en peso,Volumen (miles de kg o litros),Economato/Coop.,1076.1699999999998
2003,Otros productos en volumen,Volumen (miles de kg o litros),Economato/Coop.,333.40000000000003
2004,Miel,Valor (miles de euros),Economato/Coop.,919.05
2004,Carne,Valor (miles de euros),Economato/Coop.,43198.91
2004,Pescados y mariscos,Valor (miles de euros),Economato/Coop.,15462.16
2004,Leche líquida,Valor (miles de euros),Economato/Coop.,9603.87
2004,Otras leches,Valor (miles de euros),Economato/Coop.,0.0
2004,Derivados lacteos,Valor (miles de euros),Economato/Coop.,13650.0
2004,Pan,Valor (miles de euros),Economato/Coop.,10641.22
