AÑO,CATEGORIAS,ANALISIS,COMUNIDAD AUTONOMA,CANTIDAD
2000,Frutos secos,Gasto x cápita (miles de euros),ARAGON,7.706745043318648
2000,Frutas y hortalizas transformadas,Gasto x cápita (miles de euros),ARAGON,20.0608472110095
2000,Platos preparados,Gasto x cápita (miles de euros),ARAGON,20.829635190958314
2000,Cafes e infusiones,Gasto x cápita (miles de euros),ARAGON,11.933418947813962
2000,Caldos,Gasto x cápita (miles de euros),ARAGON,2.0025046212055018
2000,Salsas,Gasto x cápita (miles de euros),ARAGON,3.3555917763228558
2000,Gaseosas y bebidas refrescantes,Gasto x cápita (miles de euros),ARAGON,20.65795756625339
2000,Otros productos en peso,Gasto x cápita (miles de euros),ARAGON,10.25423257791265
2000,Otros productos en volumen,Gasto x cápita (miles de euros),ARAGON,1.3686246168063065
2000,Miel,Consumo x cápita (miles de kg o litros),BALEARES,0.4450704596403073
2000,Carne,Consumo x cápita (miles de kg o litros),BALEARES,50.47736549204055
2000,Pescados y mariscos,Consumo x cápita (miles de kg o litros),BALEARES,17.748072308359653
2000,Leche líquida,Consumo x cápita (miles de kg o litros),BALEARES,84.51059588971376
2000,Otras leches,Consumo x cápita (miles de kg o litros),BALEARES,0.7537073747795452
2000,Derivados lacteos,Consumo x cápita (miles de kg o litros),BALEARES,33.71656318914344
2000,Pan,Consumo x cápita (miles de kg o litros),BALEARES,50.77289006198836
2000,"Bolleria, pastelería, galletas y cereales",Consumo x cápita (miles de kg o litros),BALEARES,13.592273314056847
2000,Productos navideños,Consumo x cápita (miles de kg o litros),BALEARES,1.0856932971438946
2000,Chocolates,Consumo x cápita (miles de kg o litros),BALEARES,2.852268995999667
2000,Arroz,Consumo x cápita (miles de kg o litros),BALEARES,7.0687594166170555
2000,Pastas,Consumo x cápita (miles de kg o litros),BALEARES,4.699888020922813
2000,Azucar,Consumo x cápita (miles de kg o litros),BALEARES,5.632004733443548
2000,Edulcorante,Consumo x cápita (miles de kg o litros),BALEARES,0.23092387301715103
2000,Legumbres,Consumo x cápita (miles de kg o litros),BALEARES,3.8297006704117553
2000,Aceites,Consumo x cápita (miles de kg o litros),BALEARES,15.632977730159036
2000,Margarinas,Consumo x cápita (miles de kg o litros),BALEARES,1.1236872613360498
2000,Aceitunas,Consumo x cápita (miles de kg o litros),BALEARES,2.6833233508748946
2000,Vinos,Consumo x cápita (miles de kg o litros),BALEARES,18.135985973867403
2000,Cervezas,Consumo x cápita (miles de kg o litros),BALEARES,11.233077363137392
2000,Patatas,Consumo x cápita (miles de kg o litros),BALEARES,39.719932342486686
2000,Hortalizas frescas,Consumo x cápita (miles de kg o litros),BALEARES,56.67417838636932
2000,Frutas frescas,Consumo x cápita (miles de kg o litros),BALEARES,96.34890978735763
2000,Frutos secos,Consumo x cápita (miles de kg o litros),BALEARES,2.0124599359010373
2000,Frutas y hortalizas transformadas,Consumo x cápita (miles de kg o litros),BALEARES,12.115709225109626
2000,Platos preparados,Consumo x cápita (miles de kg o litros),BALEARES,8.805697217222537
2000,Cafes e infusiones,Consumo x cápita (miles de kg o litros),BALEARES,1.757575491732851
2000,Caldos,Consumo x cápita (miles de kg o litros),BALEARES,0.19515404688005122
2000,Salsas,Consumo x cápita (miles de kg o litros),BALEARES,1.7163163981056773
2000,Gaseosas y bebidas refrescantes,Consumo x cápita (miles de kg o litros),BALEARES,47.7506981032099
2000,Otros productos en peso,Consumo x cápita (miles de kg o litros),BALEARES,5.795721729119318
2000,Otros productos en volumen,Consumo x cápita (miles de kg o litros),BALEARES,1.418006472843908
2000,Miel,Gasto x cápita (miles de euros),BALEARES,1.7077485800054426
2000,Carne,Gasto x cápita (miles de euros),BALEARES,234.500252951641
2000,Pescados y mariscos,Gasto x cápita (miles de euros),BALEARES,101.9346222412558
2000,Leche líquida,Gasto x cápita (miles de euros),BALEARES,44.28589526755375
2000,Otras leches,Gasto x cápita (miles de euros),BALEARES,2.931350282837381
2000,Derivados lacteos,Gasto x cápita (miles de euros),BALEARES,89.08367694502758
2000,Pan,Gasto x cápita (miles de euros),BALEARES,92.76432038457386
2000,"Bolleria, pastelería, galletas y cereales",Gasto x cápita (miles de euros),BALEARES,51.52853578344838
2000,Productos navideños,Gasto x cápita (miles de euros),BALEARES,5.7005872594221785
2000,Chocolates,Gasto x cápita (miles de euros),BALEARES,13.998772303618534
2000,Arroz,Gasto x cápita (miles de euros),BALEARES,6.721094949827322
2000,Pastas,Gasto x cápita (miles de euros),BALEARES,7.797203130040207
2000,Azucar,Gasto x cápita (miles de euros),BALEARES,5.569993928296037
2000,Edulcorante,Gasto x cápita (miles de euros),BALEARES,1.0529620404401996
2000,Legumbres,Gasto x cápita (miles de euros),BALEARES,4.152769309575342
2000,Aceites,Gasto x cápita (miles de euros),BALEARES,33.619548123354484
2000,Margarinas,Gasto x cápita (miles de euros),BALEARES,2.8005526034744888
2000,Aceitunas,Gasto x cápita (miles de euros),BALEARES,5.889560512532721
2000,Vinos,Gasto x cápita (miles de euros),BALEARES,32.88747204598389
2000,Cervezas,Gasto x cápita (miles de euros),BALEARES,11.214915543400203
2000,Patatas,Gasto x cápita (miles de euros),BALEARES,21.47157112703466
2000,Hortalizas frescas,Gasto x cápita (miles de euros),BALEARES,70.28291950289639
