AÑO,CATEGORIAS,COMUNIDAD AUTONOMA,CANTIDAD
2001,CEREALES DESAY.ENV.,ESPAÑA,36501.03
2001,BOLL./PAST.GRANEL,ESPAÑA,78199.83
2001,GALLETAS GRANEL,ESPAÑA,4445.150000000001
2001,PRODUCTOS NAVIDEÑOS,ESPAÑA,44239.13
2001,CHOCOLATES/CACAOS/SUC,ESPAÑA,120087.22
2001,TURRON DE CHOCOLATE,ESPAÑA,5745.09
2001,ARROZ,ESPAÑA,198900.3
2001,TOTAL PASTAS,ESPAÑA,137895.91
2001,AZUCAR,ESPAÑA,199990.58999999997
2001,EDULCORANTES,ESPAÑA,3403.290000000001
2001,TOTAL ACEITES DE OLIVA,ESPAÑA,397800.85000000003
2001,ACEITE DE GIRASOL,ESPAÑA,166870.98
2001,ACEITE DE MAIZ,ESPAÑA,2115.56
2001,ACEITE DE SOJA,ESPAÑA,0.0
2001,ACEITE DE SEMILLA,ESPAÑA,13756.469999999998
2001,ACEITE DE ORUJO,ESPAÑA,20542.45
2001,MARGARINA,ESPAÑA,33337.16
2001,ACEITUNAS,ESPAÑA,101570.62999999998
2001,TOTAL ZUMO Y NECTAR,ESPAÑA,482516.22000000003
2001,PATATAS FRESCAS,ESPAÑA,995970.32
2001,PATATAS CONGELADAS,ESPAÑA,26218.03
2001,PATATAS PROCESADAS,ESPAÑA,48624.33
2001,TOMATES,ESPAÑA,538424.02
2001,CEBOLLAS,ESPAÑA,251749.66
2001,AJOS,ESPAÑA,37415.840000000004
2001,COLES,ESPAÑA,57503.880000000005
2001,PEPINOS,ESPAÑA,82700.47
2001,JUDIAS VERDES,ESPAÑA,99270.82
2001,PIMIENTOS,ESPAÑA,165017.97
2001,CHAMPIÑONES+O.SETAS,ESPAÑA,36138.52
2001,LECHUGA/ESC./ENDIVIA,ESPAÑA,244398.69999999998
2001,ESPARRAGOS,ESPAÑA,11081.380000000001
2001,VERDURAS DE HOJA,ESPAÑA,69358.88
2001,OTR.HORTALIZAS/VERD.,ESPAÑA,529710.58
2001,NARANJAS,ESPAÑA,751429.8300000001
2001,MANDARINAS,ESPAÑA,204386.83000000002
2001,LIMONES,ESPAÑA,90956.86
2001,PLATANOS,ESPAÑA,390843.85000000003
2001,MANZANAS,ESPAÑA,495088.33999999997
2001,MELOCOTONES,ESPAÑA,186972.40999999997
2001,ALBARICOQUES,ESPAÑA,37823.65
2001,FRESAS/FRESON,ESPAÑA,85131.04000000002
2001,MELON,ESPAÑA,330634.56
2001,SANDIA,ESPAÑA,252490.71000000002
2001,CIRUELAS,ESPAÑA,50943.59999999999
2001,CEREZAS,ESPAÑA,35033.62
2001,UVAS,ESPAÑA,82104.79000000001
